key,sweep,controller,L_mm,dz_mm,mu,success,reached,t_reach_s,theta_end_deg,peak_finger_N,mean_finger_N,peak_table_N,max_table_slip_mm,max_edge_lift_mm,finger_slide_mm,max_contact_gap_ms,peak_command_N,hfvc_solve_failures,hfvc_solve_ms,fail_reason,wall_s
random|hfvc|74.48|-0.54|0.517,random,hfvc,74.477,-0.539,0.5172,1,1,1.398,40.011,10.022,9.987,13.788,0.0475,0.0,0.4205,0.0,10.044,0,187.99,,0.319
random|velocity|74.48|-0.54|0.517,random,velocity,74.477,-0.539,0.5172,1,1,1.349,40.009,11.228,10.297,13.104,0.0497,0.0,0.4137,0.0,10.526,0,0.0,,0.109
random|force|74.48|-0.54|0.517,random,force,74.477,-0.539,0.5172,0,0,,34.418,10.0,9.987,13.059,0.105,0.0,0.6725,0.0,9.385,0,332.62,did not reach 40 deg in 2.5 s,0.528
random|hfvc|75.95|-0.26|0.580,random,hfvc,75.949,-0.259,0.58,1,1,1.4275,40.011,10.006,9.975,13.92,0.043,0.0,0.4462,0.0,10.044,0,192.07,,0.326
random|velocity|75.95|-0.26|0.580,random,velocity,75.949,-0.259,0.58,1,1,1.3445,40.015,15.22,12.471,16.256,0.0613,0.0,0.4809,0.0,14.561,0,0.0,,0.108
random|force|75.95|-0.26|0.580,random,force,75.949,-0.259,0.58,0,0,,22.461,9.989,9.984,13.248,0.0212,0.0,0.7853,0.0,9.385,0,334.55,did not reach 40 deg in 2.5 s,0.53
random|hfvc|72.09|1.50|0.878,random,hfvc,72.094,1.498,0.8785,1,1,1.35,40.006,10.051,10.006,13.581,0.0556,0.0,0.3798,0.0,10.044,0,182.24,,0.308
random|velocity|72.09|1.50|0.878,random,velocity,72.094,1.498,0.8785,1,1,1.315,40.003,9.777,5.835,12.784,0.0142,0.0057,0.2839,0.0,9.243,0,0.0,,0.108
random|force|72.09|1.50|0.878,random,force,72.094,1.498,0.8785,1,1,1.216,40.005,10.01,9.997,12.831,0.08,0.0,0.3141,0.0,9.385,0,162.08,,0.259
random|hfvc|76.07|-0.62|0.968,random,hfvc,76.067,-0.62,0.9681,1,1,1.4295,40.0,10.005,9.974,13.931,0.0426,0.0,0.4482,0.0,10.044,0,192.55,,0.326
random|velocity|76.07|-0.62|0.968,random,velocity,76.067,-0.62,0.9681,1,1,1.3505,40.014,16.098,12.798,16.914,0.0638,0.0,0.492,0.0,15.447,0,0.0,,0.11
random|force|76.07|-0.62|0.968,random,force,76.067,-0.62,0.9681,0,0,,21.255,9.988,9.984,13.263,0.0241,0.0,0.7954,0.0,9.385,0,334.39,did not reach 40 deg in 2.5 s,0.531
random|hfvc|75.63|-0.27|0.940,random,hfvc,75.634,-0.269,0.9403,1,1,1.421,40.005,10.009,9.977,13.891,0.0439,0.0,0.4406,0.0,10.044,0,193.13,,0.33
random|velocity|75.63|-0.27|0.940,random,velocity,75.634,-0.269,0.9403,1,1,1.3445,40.01,14.293,11.986,15.486,0.0587,0.0,0.4655,0.0,13.623,0,0.0,,0.111
random|force|75.63|-0.27|0.940,random,force,75.634,-0.269,0.9403,0,0,,25.472,9.991,9.985,13.208,0.0283,0.0,0.759,0.0,9.385,0,333.83,did not reach 40 deg in 2.5 s,0.533
random|hfvc|73.19|0.78|0.588,random,hfvc,73.193,0.784,0.5883,1,1,1.372,40.004,10.037,9.997,13.673,0.0517,0.0,0.3984,0.0,10.044,0,184.03,,0.315
random|velocity|73.19|0.78|0.588,random,velocity,73.193,0.784,0.5883,1,1,1.327,40.011,9.778,7.799,12.92,0.0304,0.0024,0.3386,0.0,9.288,0,0.0,,0.108
random|force|73.19|0.78|0.588,random,force,73.193,0.784,0.5883,1,1,2.0895,40.002,10.007,9.99,12.896,0.1356,0.0,0.5156,0.0,9.385,0,277.35,,0.442
random|hfvc|72.62|0.80|0.537,random,hfvc,72.616,0.803,0.5367,1,1,1.3605,40.007,10.044,10.001,13.623,0.0537,0.0,0.3887,0.0,10.044,0,184.23,,0.313
random|velocity|72.62|0.80|0.537,random,velocity,72.616,0.803,0.5367,1,1,1.3265,40.004,9.777,6.898,12.844,0.0237,0.0038,0.3134,0.0,9.261,0,0.0,,0.108
random|force|72.62|0.80|0.537,random,force,72.616,0.803,0.5367,1,1,1.5315,40.002,10.009,9.994,12.862,0.0993,0.0,0.3864,0.0,9.385,0,205.22,,0.328
random|hfvc|74.93|0.32|0.513,random,hfvc,74.931,0.32,0.5133,1,1,1.407,40.008,10.017,9.983,13.828,0.0461,0.0,0.4284,0.0,10.044,0,188.8,,0.323
random|velocity|74.93|0.32|0.513,random,velocity,74.931,0.32,0.5133,1,1,1.3345,40.005,11.355,10.667,13.684,0.05,0.0,0.4236,0.0,10.657,0,0.0,,0.111
random|force|74.93|0.32|0.513,random,force,74.931,0.32,0.5133,0,0,,31.262,9.997,9.987,13.118,0.0761,0.0,0.7046,0.0,9.385,0,331.76,did not reach 40 deg in 2.5 s,0.526
random|hfvc|77.31|0.19|0.773,random,hfvc,77.312,0.194,0.7729,1,1,1.4545,40.001,9.991,9.964,14.047,0.0391,0.0,0.4704,0.0,10.044,0,194.67,,0.331
random|velocity|77.31|0.19|0.773,random,velocity,77.312,0.194,0.7729,1,1,1.337,40.002,18.648,14.407,19.337,0.0693,0.0,0.5424,0.0,18.033,0,0.0,,0.108
random|force|77.31|0.19|0.773,random,force,77.312,0.194,0.7729,0,0,,6.072,9.982,9.979,13.361,0.0943,0.0,0.9026,0.0,9.385,0,333.78,did not reach 40 deg in 2.5 s,0.533
random|hfvc|73.72|-0.32|0.697,random,hfvc,73.721,-0.319,0.6969,1,1,1.3825,40.001,10.031,9.993,13.72,0.0499,0.0,0.4074,0.0,10.044,0,185.12,,0.315
random|velocity|73.72|-0.32|0.697,random,velocity,73.721,-0.319,0.6969,1,1,1.3455,40.013,9.779,9.039,12.978,0.0411,0.0002,0.3757,0.0,9.304,0,0.0,,0.109
random|force|73.72|-0.32|0.697,random,force,73.721,-0.319,0.6969,0,0,,38.856,10.004,9.988,12.96,0.1499,0.0,0.6244,0.0,9.385,0,332.3,did not reach 40 deg in 2.5 s,0.529
random|hfvc|74.70|0.70|0.746,random,hfvc,74.7,0.703,0.7463,1,1,1.4025,40.012,10.02,9.985,13.807,0.0468,0.0,0.4244,0.0,10.044,0,187.67,,0.318
random|velocity|74.70|0.70|0.746,random,velocity,74.7,0.703,0.7463,1,1,1.3285,40.014,10.306,10.162,13.263,0.0462,0.0,0.4078,0.0,9.539,0,0.0,,0.109
random|force|74.70|0.70|0.746,random,force,74.7,0.703,0.7463,0,0,,32.922,9.998,9.987,13.088,0.0911,0.0,0.6879,0.0,9.385,0,332.93,did not reach 40 deg in 2.5 s,0.529
random|hfvc|74.16|-1.99|0.876,random,hfvc,74.163,-1.993,0.8764,1,1,1.3915,40.006,10.026,9.989,13.759,0.0485,0.0,0.415,0.0,10.044,0,187.26,,0.32
random|velocity|74.16|-1.99|0.876,random,velocity,74.163,-1.993,0.8764,1,1,1.374,40.003,12.418,10.387,13.439,0.0537,0.0,0.4185,0.0,11.723,0,0.0,,0.112
random|force|74.16|-1.99|0.876,random,force,74.163,-1.993,0.8764,0,0,,36.376,10.002,9.988,13.018,0.1242,0.0,0.6517,0.0,9.385,0,331.31,did not reach 40 deg in 2.5 s,0.525
