key,sweep,controller,t,theta_deg,finger_normal_N,finger_tangential_N,table_normal_N,table_slip_mm,finger_slide_mm
size|force|78.00|0.00|0.800,size,force,0.8085,0.006459404773087735,9.977557486636423,2.6702412534950764,13.237223608324953,0.033298757460282075,0.2953127073198941
size|force|78.00|0.00|0.800,size,force,0.8125,0.006459827974751337,9.977557321629913,2.670242937641567,13.237221889821761,0.033464664963104795,0.2967744632477873
size|force|78.00|0.00|0.800,size,force,0.8165,0.006460251248654988,9.977557156708619,2.670244621211283,13.237220172193904,0.033630587205587904,0.2982362214469307
size|force|78.00|0.00|0.800,size,force,0.8205,0.00646067466645647,9.977556991885942,2.670246304677538,13.237218454703129,0.03379652402426202,0.2996979818297711
size|force|78.00|0.00|0.800,size,force,0.8245,0.0064610981600196045,9.977556827144227,2.6702479875912233,13.237216737950838,0.033962475393567004,0.30115974438523535
size|force|78.00|0.00|0.800,size,force,0.8285,0.006461521796475165,9.9775566624984,2.6702496703867835,13.23721502130896,0.03412844115271365,0.3026215090277579
size|force|78.00|0.00|0.800,size,force,0.8325,0.006461945512650482,9.977556497933687,2.670251352632167,13.237213305397368,0.03429442127026689,0.3040832757429682
size|force|78.00|0.00|0.800,size,force,0.8365,0.006462369371290601,9.977556333466545,2.6702530347432583,13.237211589607442,0.034460415587457306,0.3055450444469949
size|force|78.00|0.00|0.800,size,force,0.8405,0.006462793313513615,9.977556169080733,2.6702547163045023,13.237209874550633,0.034626424067295256,0.307006815122433
size|force|78.00|0.00|0.800,size,force,0.8445,0.006463217397964781,9.97755600479064,2.6702563977152134,13.237208159624345,0.0347924465526483,0.3084685876869291
size|force|78.00|0.00|0.800,size,force,0.8485,0.006463641569722273,9.977555840583253,2.670258078575308,13.23720644543695,0.03495848300125096,0.3099303621202137
size|force|78.00|0.00|0.800,size,force,0.8525,0.006464065883612409,9.977555676472056,2.6702597592690567,13.237204731393309,0.0351245332574817,0.31139213834129853
